Index,Text
4,"Look, just don't say anything to Maven, will you? I've spent weeks trying to get that right and if she sees how stupid I am, she'll get rid of me."
5,I'm afraid there's a problem. A serious one. I've discovered who the Greybeards' leader really is.
11,For me? From whom?
16,"Listen, lass. There's one last piece of business we need to settle before we go after Mercer... the leadership of the Guild."
18,"We're looking for a book of alchemical recipes called ""The Dreamstride."""
21,Only those whose Voice is strong can find the path. Come. We will teach you a Shout to open the way to Paarthurnax.
23,Captain Lonely-Gale! I've been looking for you everywhere!
24, 
25,I find these parties such a dreadful bore.
26,"I don't think he would have wanted your absolution, Rorlund. He worshiped Talos."
29,"Make your choice, Dragonborn. You're either with us or against us."
30,"Me? I like to talk to my targets before the kill. Taunt them, scare them... even challenge them."
33,Where've you been all day?
34,I... I am unsure. He is somewhere within the College. Surely one of your colleagues must know his location.
40,Don't talk to me. You could be one of them.
42,Hiding? The shadows are my domain!
44,What makes you think I know anything? Everyone knows he's dead and gone!
47,"Please, tell me you have good news."
48,They're half-naked. That ain't right. Somebody's gotta say somethin'...
51,"Steady, legionnaires! We've been through worse. Just keep your guard up!"
54,"Name's Rune. Yeah, rune... just like you're thinking."
55,Just don't mistake my admiration for complacency; our nemesis is going to pay dearly.
57,That sounds lovely. You're very sweet.
58,"I beg you, don't go into Silus's museum. "
59,So this is where Delphine has been hiding all these years? Hmm.
60,Once I'm in charge I have bigger aspirations than just Skyrim. I plan to bring Black-Briar Mead to all of Tamriel.
63,"Splendid! With the extra coin, I'll be able to purchase twice the volume in supplies that I normally do."
64,Go on ahead. I'll stand guard.
66,"That's quite an opening demand, Tullius."
67,"Ha ha ha ha! Yes, yes indeed! Hail the Imperial Legion! Hail the Stormcloaks! Hail Solitude and the Eight Divines!"
70,"So, any luck finding my louse of a husband?"
74,"There is much to do, and I need every able bodied man and woman committed to rebuilding Skyrim."
75,What have you done to me?
76,Hmm. I can't say I've any idea what they were up to. Have you found this observatory?
77,Has he? I suppose he doesn't want to miss a chance to bluster about the Empire's many crimes.
80,Hrm.
83,These Reach folk are so... nosy.
85,"With Mercer Frey gone and our influence present in all of Skyrim's cities, the Guild's accumulating wealth faster than we can spend it."
86,Then we got nothin' more to talk about.
88,Finally. Now I can get back to work.
93,"Well, let's all raise a flagon to Ulfric; future King of Skyrim and bringer of poverty to the working class!"
97,Ha! Wonderful!
99,"If you change your mind, seek me out here."
