Index,Text
16,"Only usable during main gameplay. You must have the shout unlocked to the level you want to use, and you can say the Shout in English or in Dragon Language.

1. English Language: Available without holding RB. Just say the name. e.g. UNRELENTING FORCE, and the highest known level of the shout will trigger.

2. Dragon Language: Only available when holding RB. 

Note: To use Shouts or Powers while Kinect is enabled using the controller, press LB + RB at same time.


Unrelenting Force - ""Fus Ro Dah""

Dismaying Shout - ""Faas Ru Maar""

Become Ethereal - ""Feim Zii Gron""

Whirlwind Sprint - ""Wuld Nah Kest""

Elemental Fury - ""Su Grah Dun""

Clear Skies - ""Lok Vah Koor""

Fire Breath - ""Yol Toor Shul""

Dragonrend - ""Joor Zah Frul""

Call of Valor - ""Hun Kaal Zoor""

Call Dragon - ""Od Ah Viing"" (No 1st or 2nd level variations of this shout)

Animal Allegiance - ""Raan Mir Tah""

Aura Whisper - ""Laas Yah Nir""

Disarm - ""Zun Haal Viik""

Marked For Death - ""Krii Lun Aus""

Frost Breath - ""Fo Krah Diin""

Storm Call - ""Strun Bah Qo""

Kyne's Peace - ""Kaan Drem Ov""

Slow Time - ""Tiid Klo Ul""

Throw Voice - ""Zul Mey Gut""

Ice Form - ""Iiz Slen Nus"""
19,"KINECT COMMANDS

Turn on Kinect functionality by going to SETTINGS->GAMEPLAY and check USE KINECT COMMANDS. Be sure to calibrate your Kinect sensor for sound first.

MAIN GAMEPLAY

""Quick Items"" - Opens inventory menu
""Quick Magic"" - Opens magic menu
""Quick Skills"" - Opens stats menu
""Quick Map"" - Opens map menu
""Quick Save"" - Quick-saves the game
""Quick Load"" - Quick-loads the game
""New Save"" - Saves the game into a new save slot
""Pause Game"" - Pauses the game

CHARACTER MENU
""Items"" - Opens inventory menu
""Magic"" - Opens magic menu
""Skills"" - Opens skills menu
""Map"" - Opens map menu

FAVORITES MENU
""Assign <hotkey command>"" -  Sets the selected item to the spoken hotkey
""Health Potion""
""Magicka Potion""
""Stamina Potion""
""Poison""
""Sword""
""Mace""
""Axe""
""Dagger""
""Bow""
""Shield""
""Dual Wield Left""
""Dual Wield Right""
""Soul Trap""
""Greatsword""
""Battleaxe""
""Warhammer""
""Fire Spell""
""Frost Spell""
""Lightning Spell""
""Ward Spell""
""Ritual Spell""
""Bound Weapon""
""Summon Spell""
""Armor Spell""
""Calm Spell""
""Frenzy Spell""
""Healing Spell""
""Light""

HOTKEY EQUIPPING
Only usable during main gameplay
""Equip <hotkey command>"" - Equips item in the default hand
""Equip Left <hotkey command>"" - Equips item in the Left hand, if possible.
""Equip Right <hotkey command>"" - Equips item in the Right hand, if possible.
""Equip Dual <hotkey command>"" - Equips the item in both hands, if possible.

See above for definition of <hotkey command>
""Equip Sword And Shield"" - Equips the item with the Sword hotkey in the right hand, and the item with the Shield hotkey in the left hand

Also: 
""Equip Mace and Shield""
""Equip Axe and Shield""
""Equip Dagger and Shield""
""Equip Dual Weapons"" - Equips the item with the DualWieldLeft hotkey in the left hand, and the item with the DualWieldRight hotkey in the left hand.

FOLLOWER COMMANDS
Only usable during main gameplay.  Only valid if you have a follower.

""Ally Follow"" or ""Ally Follow Me"" - Ally follows you as if you told them ""Follow me.""
""Ally Wait"" or ""Ally Wait Here"" - Ally stays where they are
""Ally Trade"" or ""Ally Items"" - Opens the Teammate menu
""Ally Open"" - Commands the ally to open the container / door you're looking at.
""Ally Stand"" - Commands the ally to stand at the spot you're looking at.
""Ally Retrieve"" - Commands the ally to pick up the item you're looking at.
""Ally Attack"" - Commands the ally to attack the NPC you're looking at.
""Ally Interact"" or ""Ally Use"" - Does a generic Interact command with the ally.  Same as if you entered Command mode and pressed A.  What the ally does is dependent on what you're looking at

SHOUTS
Only usable during main gameplay.  

Unrelenting Force - ""Fus Ro Dah""

Dismaying Shout - ""Faas Ru Maar""

Become Ethereal - ""Feim Zii Gron""

Whirlwind Sprint - ""Wuld Nah Kest""

Elemental Fury - ""Su Grah Dun""

Clear Skies - ""Lok Vah Koor""

Fire Breath - ""Yol Toor Shul""

Dragonrend - ""Joor Zah Frul""

Call of Valor - ""Hun Kaal Zoor""

Call Dragon - ""Od Ah Viing"" (No 1st or 2nd level variations of this shout)

Animal Allegiance - ""Raan Mir Tah""

Aura Whisper - ""Laas Yah Nir""

Disarm - ""Zun Haal Viik""

Marked For Death - ""Krii Lun Aus""

Frost Breath - ""Fo Krah Diin""

Storm Call - ""Strun Bah Qo""

Kyne's Peace - ""Kaan Drem Ov""

Slow Time - ""Tiid Klo Ul""

Throw Voice - ""Zul Mey Gut""

Ice Form - ""Iiz Slen Nus""


INVENTORY MENU
""Favorites""
""All""
""Weapons""
""Apparel"" or ""Armor""
""Potions""
""Scrolls""
""Food""
""Ingredients""
""Books""
""Keys""
""Miscellaneous""
""Sort By Name"" - Sorts the item list by name, increasing.  If the list is already sorted by name increasingly, sorts it decreasingly.
""Sort By Weight"" - Sorts the item list by weight, decreasing.  If the list is already sorted by weight decreasingly, sorts it increasingly.
""Sort By Value"" - Sorts the item list by value, decreasing.  If the list is already sorted by value decreasingly, sorts it increasingly.
""Close Menu"" - Closes the menu

BARTER MENU
Vendor categories - Open the item list for the spoken vendor category
""Their Items""
""Their Weapons""
""Their Apparel""
""Their Potions""
""Their Scrolls""
""Their Food""
""Their Ingredients""
""Their Books""
""Their Keys""
""Their Miscellaneous""

Player categories - Opens the item list for the spoken player category
""My Items"" or ""All""
""My Weapons"" or ""Weapons""
""My Apparel"" or ""Apparel"" or ""Armor""
""My Potions"" or ""Potions""
""My Scrolls"" or ""Scrolls""
""My Food"" or ""Food""
""My Ingredients"" or ""Ingredients""
""My Books"" or ""Books""
""My Keys"" or ""Keys""
""My Miscellaneous""
""Sort By Name""
""Sort By Value""
""Sort By Weight""
""Close Menu""

CONTAINER MENU
""Their Items""
""Their Weapons""
""Their Apparel""
""Their Potions""
""Their Scrolls""
""Their Food""
""Their Ingredients""
""Their Books""
""Their Keys""
""Their Miscellaneous""

Player categories - Opens the item list for the spoken player category
""My Items"" or ""All""
""My Weapons"" or ""Weapons""
""My Apparel"" or ""Apparel"" or ""Armor""
""My Potions"" or ""Potions""
""My Scrolls"" or ""Scrolls""
""My Food"" or ""Food""
""My Ingredients"" or ""Ingredients""
""My Books"" or ""Books""
""My Keys"" or ""Keys""
""My Miscellaneous""
""Set Loot Limit <value>"" - Sets the value that the ""Loot Items"" voice command should use.
<value> can be 0, 5, 10, 25, 50 or 100.

""Loot Items"" - Takes all items from a container whose value-to-weight ratio is greater than or equal to the loot limit.  If the limit is 0, only takes weightless items with value, i.e. gold.
""Sort By Name""
""Sort By Value""
""Sort By Weight""
""Close Menu""

MAGIC MENU
""Favorites""
""All""
""Alteration""
""Illusion""
""Destruction""
""Conjuration""
""Restoration""
""Shouts""
""Powers""
""Active Effects"" or ""Effects""

MAP MENU
""<city name>"" - Centers the camera on that city.  Following cities (9 hold capitals) are implemented:
""Windhelm""
""Falkreath""
""Dawnstar""
""Morthal""
""Solitude""
""Markarth""
""Riften""
""Whiterun""
""Winterhold""
""Player"" or ""Where am I"" - Centers camera on the player.
""Waypoint"" - Centers camera on player-set marker, if available
""Quest Marker"" or ""Quest"" - Centers camera on active quest target.  Saying it multiple times will cycle through targets.


STATS MENU
""One Handed""
""Two Handed""
""Archery""
""Block""
""Smithing""
""Heavy Armor""
""Light Armor""
""Pickpocket""
""Lockpicking""
""Sneak""
""Alchemy""
""Speech""
""Alteration""
""Conjuration""
""Destruction""
""Illusion""
""Restoration""
""Enchanting"""
92,"I've passed through Alduin's portal into Sovngarde, the realm of Aetherius where the souls of Nord heroes go to feast and battle until the final reckoning. Now to find Alduin and defeat him once and for all."
178,"Citizens of Skyrim, they are a tall and fair-haired people.  Strong and hardy, Nords are famous for their resistance to cold and their talent as warriors. They can use a Battlecry to make opponents flee."
975,"In addition to their quick and perceptive grasp of spellcraft, even the humblest of High Rock's Bretons can boast a resistance to magic. Bretons can call upon the Dragonskin power to absorb spells."
977,I have been inducted as a full member of the Companions.
1990,<Alias=Brute> won't be causing as much trouble for <Alias=BruteTown>.
2810,"The people of the Wrothgarian and Dragontail Mountains, Orcish smiths are prized for their craftsmanship. Orc troops in Heavy Armor are among the finest in the Empire, and are fearsome when using their Berserker Rage."
4921,The art of creating and improving weapons and armor from raw materials.
5410,Potema has been summoned from beyond the grave and is gathering power. Styrr has given me the key to Potema's Catacombs. I must enter the catacombs and prevent Potema from fully resurrecting by acquiring her bones.
6564,Attacks with battle axes cause extra bleeding damage.
6566,Attacks with battle axes cause more bleeding damage.
6569,Attacks with battle axes cause even more bleeding damage.
6743,Unified perk for applying skill benefits from perks
8374,<Alias=Victim> has been kidnapped and taken to <Alias=Lair>. I need to get <Alias.PronounObj=Victim> back to <Alias=VictimHome>.
8590,"I've dealt with the three troublesome business owners in Riften as Brynjolf had specified. Perhaps now that I've proven my worth to Brynjolf, I can discover more about this mysterious organization that he represents."
8592,"After successfully locating the Ragged Flagon, Brynjolf has given me a new assignment. Three business owners in Riften are proving to be a thorn in his side and I'm supposed to teach them the error of their ways. I should speak to Brynjolf about these townspeople in the event that they prove to be as stubborn as I'm expecting them to be."
