Index,Text
366,I've checked with my court and apparently you're fully eligible... there's nothing standing in the way of presenting you the title.
2091,"I've made up my mind, even if my advisors are still squabbling. I'm sending you to Windhelm."
3970,I can provide you with help for her minions though.  This should help you deal with the Catacombs themselves. 
4136,"Oh don't pretend to be modest. I'm talking about your new role as champion. Apparently, you've taken my people under your wing."
4273,"Well, well. Aren't we the overachiever. Three possibilities, three victims. Must have been one of them, right? So why take chances..."
4432,"Ah, the feisty goodwife. Quite the mouth on her. Someone must have wanted her dead... right?"
4437,When has any good ever come from talking to the Empire?
4579,"Therefore, by my authority as Jarl, I pronounce you Thane of Riften and award you all of the benefits befitting your station. Congratulations."
6004,"I do hope mummy and father come to get me soon. Ever since that Aventus boy left, this place has gone mad."
7611,I don't know how you convinced Ulfric to talk to the Empire. Worse than a waste of time if you ask me.
8312,"Well, I'm just surprised the Gourmet is a Redguard. I had you pegged for a Wood Elf, honestly. You know, because of your use of..."
9792,Just get out of here.
11442,You're a Nord! I never would have guessed it! But where in the world did you learn to cook like that? Here in Skyrim? Or maybe somewhere less...
13649,"If you think you can steal my throne by winning the hearts of the people, that's where you're wrong. Keep that in mind."
14558,She was responsible for the Empire's near collapse almost five hundred years ago. I believe I have a book about her...
15083,We can talk about that once this dragon is dealt with.
15085,You damn well better.
15545,"Aventus Aretino? He only lived here for awhile. I think his mother got sick and died or something. Anyway, he's gone now. He ran away."
16074,No doubt requesting to garrison his men in my castle. How many times must I deny him?
16775,"As to Potema herself, find what's left of her body, likely a skeleton. Remove it from the Catacombs and bring it back to be sanctified by Arkay."
17426,"Hmm. The fearless wife and mother, and the underhanded Khajiit. Had to be one of them, right? Interesting choice."
17791,"But Samuel told me he's back home in Windhelm, and did some kind of dark ritual. He summoned killers to murder old Grelod. He's saved us all."
18104,That's it! Wonderful! I knew I could count on you.
19370,"No... no, that is all. Now... now please. I find myself very weary all of sudden."
20680,We can talk about that once this dragon is dealt with.
21703,Then allow me to officially welcome you to Riften. You'll make a fine addition to our city.
22763,I suppose it's time I gave him an answer...
22765,Ah yes.
22771,"Did he now? The man is persistent, I'll give him that."
22900,Deliver this axe to Ulfric Stormcloak.
23221,I don't have any money to give you. but I can show you a few tricks I learned playing for the Winterhold wizards.
23319,"Word out on the street is that he went home to Windhelm, and people have heard strange chanting coming from his house. Looks like he really did it!"
23510,"Well, I just never expected the Gourmet to be a Breton. It almost seems too obvious. Some of the greatest cooks have been Bretons, and..."
24028,"The timid warrior and the sly Khajiit. Must have been one or the other, right?"
24313,"Yes. I had Falk call you back because you were at the summoning, you have a connection to Potema now. You must deal with her."
24797,"I expect that you'll distance yourself from the affairs of state. In other words, keep your nose out of my business and we'll do just fine."
24934,"Oh ho. The whimpering Nord, eh? Yes, yes, I can see how you'd come to that conclusion. Interesting choice."
25715,"Hmph. Yes. Yes, I surely can. It's not something I do lightly, mind you, and it's not as specific as you might want. But yes. I will do this for you."
25771,"Good. Being at the summoning created a connection to Potema, you are the one to do this. "
27209,"When Aventus escaped, Grelod was so mad. I got double the beatings that day. But that won't happen ever again."
27401,Grelod... murdered. Here. I... I need... air... You... you... Get out of here! Get out!
